company_name,date,company_id,,,,,,,
パワーシェアリング,2016/5/30,120160530A062,,,,,,,
,,,,,,,,,
data_id,company_name,transaction_at,area,val1,val2,val3,val4,val5,val6
11605312403A00040,パワーシェアリング,2016/05/31 11:30-12:00,東京,11.79,6,35370,0.03,90,0.5
11605312404A00016,パワーシェアリング,2016/05/31 11:30-12:00,中部,8.21,1,4105,0.03,15,0.5
11605312406A00023,パワーシェアリング,2016/05/31 11:30-12:00,関西,8.21,5,20525,0.03,75,0.5
11605312409A00014,パワーシェアリング,2016/05/31 11:30-12:00,九州,8.21,2,8210,0.03,30,0.5
11605312501A00011,パワーシェアリング,2016/05/31 12:00-12:30,北海道,20.31,4,40620,0.03,60,0.5
11605312502A00012,パワーシェアリング,2016/05/31 12:00-12:30,東北,9.99,1,4995,0.03,15,0.5
11605312503A00036,パワーシェアリング,2016/05/31 12:00-12:30,東京,9.99,6,29970,0.03,90,0.5
11605312504A00015,パワーシェアリング,2016/05/31 12:00-12:30,中部,6.97,1,3485,0.03,15,0.5
11605312506A00022,パワーシェアリング,2016/05/31 12:00-12:30,関西,6.97,4,13940,0.03,60,0.5
11605312509A00015,パワーシェアリング,2016/05/31 12:00-12:30,九州,6.97,2,6970,0.03,30,0.5
11605312601A00011,パワーシェアリング,2016/05/31 12:30-13:00,北海道,20.31,4,40620,0.03,60,0.5
11605312602A00012,パワーシェアリング,2016/05/31 12:30-13:00,東北,9.99,1,4995,0.03,15,0.5
11605312603A00036,パワーシェアリング,2016/05/31 12:30-13:00,東京,9.99,6,29970,0.03,90,0.5
11605312604A00015,パワーシェアリング,2016/05/31 12:30-13:00,中部,6.97,1,3485,0.03,15,0.5
11605312606A00022,パワーシェアリング,2016/05/31 12:30-13:00,関西,6.97,4,13940,0.03,60,0.5
11605312609A00015,パワーシェアリング,2016/05/31 12:30-13:00,九州,6.97,2,6970,0.03,30,0.5
11605312702A00013,パワーシェアリング,2016/05/31 13:00-13:30,東北,15.05,1,7525,0.03,15,0.5
11605312703A00038,パワーシェアリング,2016/05/31 13:00-13:30,東京,15.05,6,45150,0.03,90,0.5
11605312704A00016,パワーシェアリング,2016/05/31 13:00-13:30,中部,8.04,1,4020,0.03,15,0.5
11605312706A00023,パワーシェアリング,2016/05/31 13:00-13:30,関西,8.04,5,20100,0.03,75,0.5
